Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,19.000000,30.420000,17.540001,19.200001,19.200001,49312000
2010-07-05,20.000000,20.000000,14.980000,17.400000,17.400000,25550600
2010-07-12,17.950001,21.500000,16.900000,20.639999,20.639999,15438900
2010-07-19,21.370001,22.250000,19.500000,21.290001,21.290001,7175700
2010-07-26,21.500000,21.500000,19.549999,19.940001,19.940001,3052000
2010-08-02,20.500000,22.180000,19.520000,19.590000,19.590000,4399700
2010-08-09,19.900000,19.980000,17.389999,18.320000,18.320000,4216600
2010-08-16,18.450001,19.590000,18.260000,19.100000,19.100000,2410100
2010-08-23,19.090000,20.389999,18.559999,19.700001,19.700001,3077900
2010-08-30,19.700001,21.299999,19.330000,21.049999,21.049999,2350500
2010-09-06,20.610001,21.049999,19.760000,20.170000,20.170000,1294600
2010-09-13,20.889999,23.160000,19.799999,20.230000,20.230000,5583100
2010-09-20,20.670000,21.549999,19.500000,20.100000,20.100000,3953400
2010-09-27,20.400000,22.150000,20.049999,20.600000,20.600000,6395900
2010-10-04,20.430000,21.280001,20.299999,20.430000,20.430000,1697800
2010-10-11,20.440001,21.030001,20.030001,20.540001,20.540001,1312900
2010-10-18,20.520000,20.950001,20.000000,20.719999,20.719999,1298700
2010-10-25,20.940001,21.870001,20.510000,21.840000,21.840000,1640700
2010-11-01,21.940001,25.330000,21.049999,24.440001,24.440001,4035900
2010-11-08,24.500000,30.500000,24.030001,29.840000,29.840000,9200800
2010-11-15,30.219999,32.939999,28.420000,30.990000,30.990000,6827100
2010-11-22,31.570000,36.000000,31.500000,35.320000,35.320000,4883100
2010-11-29,35.410000,36.419998,30.870001,31.490000,31.490000,7834500
2010-12-06,31.350000,32.919998,29.559999,31.520000,31.520000,4081100
2010-12-13,31.639999,31.770000,27.760000,31.360001,31.360001,4522100
2010-12-20,31.639999,32.860001,29.920000,30.090000,30.090000,3687000
2010-12-27,28.020000,28.580000,25.000000,26.629999,26.629999,20136400
2011-01-03,26.840000,28.580000,25.900000,28.240000,28.240000,8226200
2011-01-10,28.170000,28.709999,25.610001,25.750000,25.750000,5932900
2011-01-17,25.480000,25.639999,22.370001,23.040001,23.040001,7490100
2011-01-24,23.530001,25.080000,23.230000,24.010000,24.010000,5940600
2011-01-31,24.049999,24.730000,23.150000,23.459999,23.459999,3163600
2011-02-07,23.260000,25.250000,22.790001,23.250000,23.250000,8506200
2011-02-14,23.639999,25.490000,22.559999,23.180000,23.180000,11341000
2011-02-21,22.879999,23.850000,21.110001,23.610001,23.610001,6071800
2011-02-28,23.740000,24.990000,23.500000,24.950001,24.950001,5041200
2011-03-07,24.930000,25.400000,23.530001,24.070000,24.070000,6306100
2011-03-14,23.820000,24.000000,21.799999,22.959999,22.959999,5265000
2011-03-21,23.049999,23.049999,21.770000,22.750000,22.750000,2447600
2011-03-28,22.700001,28.709999,22.549999,26.660000,26.660000,17419400
2011-04-04,26.830000,27.940001,25.230000,26.490000,26.490000,11835200
2011-04-11,26.469999,26.530001,24.200001,25.580000,25.580000,5865200
2011-04-18,25.129999,26.980000,24.360001,26.740000,26.740000,3805900
2011-04-25,26.700001,27.870001,25.969999,27.600000,27.600000,5523800
2011-05-02,27.600000,27.799999,25.750000,27.120001,27.120001,4943200
2011-05-09,27.000000,28.950001,26.650000,27.549999,27.549999,4703700
2011-05-16,27.990000,28.440001,25.520000,27.969999,27.969999,6217000
2011-05-23,27.620001,29.760000,26.170000,29.549999,29.549999,11194400
2011-05-30,29.690001,31.500000,28.379999,30.129999,30.129999,12015900
2011-06-06,30.100000,30.129999,27.020000,27.860001,27.860001,8418900
2011-06-13,28.070000,29.700001,25.740000,26.500000,26.500000,8188000
2011-06-20,26.290001,28.250000,25.500000,27.570000,27.570000,9287900
2011-06-27,27.730000,29.600000,27.309999,29.020000,29.020000,5962000
2011-07-04,29.020000,30.000000,28.549999,28.809999,28.809999,4491400
2011-07-11,28.400000,29.090000,27.250000,27.580000,27.580000,4955200
2011-07-18,27.340000,30.440001,26.629999,29.290001,29.290001,6521300
2011-07-25,29.010000,29.250000,27.500000,28.170000,28.170000,4279300
2011-08-01,28.670000,29.200001,22.830000,24.240000,24.240000,9537700
2011-08-08,23.100000,27.139999,23.100000,26.309999,26.309999,7351700
2011-08-15,26.620001,26.750000,22.000000,22.299999,22.299999,4351900
2011-08-22,23.110001,23.950001,21.500000,23.730000,23.730000,3981000
2011-08-29,24.219999,25.500000,22.680000,23.070000,23.070000,3611400
2011-09-05,22.500000,24.030001,22.290001,22.969999,22.969999,2444000
2011-09-12,22.500000,25.840000,22.450001,25.799999,25.799999,4103600
2011-09-19,24.950001,26.950001,23.820000,26.379999,26.379999,5257600
2011-09-26,26.520000,26.990000,23.490000,24.389999,24.389999,4598300
2011-10-03,24.950001,27.600000,22.930000,26.990000,26.990000,6533700
2011-10-10,27.309999,28.549999,27.000000,28.049999,28.049999,5066600
2011-10-17,27.860001,28.430000,26.709999,28.030001,28.030001,4689400
2011-10-24,27.870001,30.000000,27.400000,29.870001,29.870001,4238900
2011-10-31,29.500000,32.490002,28.000000,32.310001,32.310001,8187100
2011-11-07,31.639999,34.500000,30.299999,33.639999,33.639999,8003500
2011-11-14,33.000000,35.000000,32.540001,32.599998,32.599998,6302000
2011-11-21,32.439999,32.790001,31.049999,31.660000,31.660000,2455600
